,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
0,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-01 20:00:00,253,23,33,35,33,1697,4
1,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-01 20:00:00,355,40,37,37,36,3815,8
2,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-01 20:00:00,92,32,39,44,39,2167,8
3,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-01 20:00:00,46,75,-30,-23,-32,-9999,0
4,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-01 20:00:00,34,50,45,46,45,2924,0
5,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-01 20:00:00,13,55,42,44,42,4409,2
6,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-01 20:00:00,0,67,51,52,50,7144,1
7,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-01 20:00:00,351,117,44,44,39,2375,2
8,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-01 20:00:00,358,160,57,57,52,4149,1
9,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-01 20:00:00,16,63,45,46,45,3411,7
10,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-01 20:00:00,333,59,50,50,47,6076,0
11,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-01 20:00:00,16,178,59,61,57,3586,3
12,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-01 20:00:00,356,97,45,46,45,2622,11
13,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-01 20:00:00,55,155,45,48,44,676,19
14,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-01 20:00:00,16,141,48,51,48,3707,13
15,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-01 21:00:00,236,22,32,32,32,2498,6
16,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-01 21:00:00,3,33,37,38,37,4002,5
17,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-01 21:00:00,106,21,40,40,38,2022,2
18,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-01 21:00:00,61,86,-32,-30,-36,-9999,0
19,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-01 21:00:00,19,42,43,45,43,5038,5
20,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-01 21:00:00,63,44,41,42,40,4068,5
21,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-01 21:00:00,7,71,52,53,51,6497,0
22,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-01 21:00:00,343,112,42,45,42,2211,8
23,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-01 21:00:00,348,148,54,58,53,4864,0
24,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-01 21:00:00,23,52,47,47,45,3197,0
25,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-01 21:00:00,339,62,50,51,50,7990,0
26,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-01 21:00:00,13,183,60,61,58,4993,2
27,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-01 21:00:00,359,99,43,45,43,3739,2
28,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-01 21:00:00,47,162,42,45,42,1228,2
29,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-01 21:00:00,18,140,48,48,47,4788,3
30,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-01 22:00:00,243,18,31,32,31,1813,4
31,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-01 22:00:00,337,28,39,39,37,3929,3
32,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-01 22:00:00,294,22,39,40,39,3255,0
33,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-01 22:00:00,79,106,-37,-31,-37,-9999,0
34,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-01 22:00:00,24,53,40,43,40,2591,2
35,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-01 22:00:00,21,37,42,42,41,4056,0
36,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-01 22:00:00,12,62,51,52,51,6394,0
37,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-01 22:00:00,332,117,45,45,42,2729,2
38,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-01 22:00:00,352,148,55,57,54,5202,0
39,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-01 22:00:00,23,69,45,48,45,2842,0
40,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-01 22:00:00,333,59,47,50,47,5308,0
41,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-01 22:00:00,13,163,63,63,60,5748,0
42,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-01 22:00:00,350,93,45,45,43,3679,0
43,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-01 22:00:00,48,165,43,43,42,2201,0
44,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-01 22:00:00,26,145,48,49,48,4632,0
45,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-01 23:00:00,254,27,27,31,27,2438,1
46,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-01 23:00:00,352,22,39,40,38,4399,2
47,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-01 23:00:00,107,12,38,39,38,2842,1
48,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-01 23:00:00,83,99,-31,-28,-37,-9999,0
49,黄岩站,黄岩区,北洋镇,28.61806,121.09472,58655,2022-02-01 23:00:00,15,41,40,40,40,2550,1
