,Province,City,Cnty,Town,Lat,Lon,Height,Stationlevl,StationName,IIIII,tmax,tmin,rain,rainhour,view,wind,windave
0,浙江省,台州市,玉环市,鸡山乡,28.0922,121.4039,30,14,大鹿岛,K8506,28.7,26.4,0,0,999999,14.7,8.3
1,浙江省,台州市,临海市,东塍镇,28.9547,121.3808,236,14,岭根村,K8682,34.7,24.8,0,0,999999,4.2,2.2
2,浙江省,台州市,三门县,浦坝港镇,28.9753,121.6486,41,14,里陈坑,K8880,34.3,27.2,0,0,999999,999999,999999
3,浙江省,台州市,黄岩区,头陀镇,28.6711,121.1006,208,14,东岭头,K8260,34.7,24.9,0,0.1,999999,5.8,4.2
4,浙江省,台州市,临海市,尤溪镇,28.7425,121.1011,17,14,尤溪,K8606,37.6,26.1,0.1,0.1,999999,6.6,3.4
5,浙江省,台州市,三门县,浦坝港镇,29.0131,121.7056,60,13,牛山,58662,34.1,27.2,0,0,6938,10.7,8
6,浙江省,台州市,天台县,泳溪乡,29.1639,121.375,235,14,大柳溪,K8798,35.4,23.5,4.1,2.3,999999,999999,999999
7,浙江省,台州市,温岭市,温峤镇,28.3636,121.2439,30,14,青屿校区,K8466,33.3,27,0,0,14442,12.6,9.3
8,浙江省,台州市,三门县,花桥镇,28.9336,121.4381,290,14,银山村,K8868,34.1,25.1,0,0.3,999999,999999,999999
9,浙江省,台州市,三门县,海游街道,29.0492,121.4242,627,14,林场,K8840,32.8,23.4,0,0,999999,12.7,8.2
10,浙江省,台州市,温岭市,石塘镇,28.2144,121.6619,73,14,一蒜岛,K8487,27.6,25.4,0,0,8577,16,14.6
11,浙江省,台州市,黄岩区,茅畲乡,28.595,121.1314,29,14,茅畲,K8216,36.4,25.1,0.1,0.1,999999,7.9,6
12,浙江省,台州市,天台县,洪畴镇,29.0997,121.2433,409,14,东安隐,K8766,33.1,24.3,0.6,0.6,999999,999999,999999
13,浙江省,台州市,黄岩区,宁溪镇,28.56,120.9519,89,14,金岙,K8292,36.7,25.5,0,0,999999,999999,999999
14,浙江省,台州市,路桥区,金清镇,28.4875,121.4636,5,14,蒋桥,K8343,35.3,26.9,0,0,999999,9.6,6.5
15,浙江省,台州市,仙居县,白塔镇,28.7256,120.5786,106,14,白塔,K8901,36.7,25,21.9,15.9999,999999,10.1,7.1
16,浙江省,台州市,天台县,坦头镇,29.185,121.105,290,14,欢岙,K8773,35.5,24.2,2,0.2,999999,7.7,5.1
17,浙江省,台州市,天台县,白鹤镇,29.2733,121.0083,600,14,万年寺,K8761,32.4,22.2,4.9,4.3999,999999,9.3,5.1
18,浙江省,台州市,三门县,浦坝港镇,28.9111,121.7244,14,14,五峙山,K8872,30,27.1,0,0,21208,16.8,13.9
19,浙江省,台州市,仙居县,横溪镇,28.7794,120.4283,553,14,山岙,K8920,38.5,23.8,0,0,999999,5.8,3
20,浙江省,台州市,椒江区,洪家街道,28.6181,121.4164,4.6,12,洪家,58665,35.3,28.3,0,0,19346,11.4,6.6
21,浙江省,台州市,仙居县,田市镇,28.6639,120.6708,137,14,柯思,K8908,36.8,24.5,0,0,999999,7.7,4.6
22,浙江省,台州市,仙居县,白塔镇,28.775,120.5811,86,14,茶溪,K8929,37.2,25.5,14,9,482,999999,3.8
23,浙江省,台州市,黄岩区,院桥镇,28.5575,121.2686,7,14,沙门店,K8223,34.4,27.8,0,0,999999,8.6,5.9
24,浙江省,台州市,临海市,邵家渡街道,28.8244,121.2322,146,14,岭上村,K8642,34.4,25.6,0,0.1,999999,9.1,6.4
25,浙江省,台州市,天台县,街头镇,29.0822,120.7117,256,14,茶坑,K8750,35.6,23.5,32.7,32,999999,5.7,3.6
26,浙江省,台州市,天台县,始丰街道,29.1539,120.99,60,14,新城,K8759,37,25.8,0.1,0.1,999999,8.2,4.2
27,浙江省,台州市,温岭市,滨海镇,28.4769,121.6092,5,14,伍佰屿,K8462,31.7,27,0,0,999999,14.4,11.3
28,浙江省,台州市,仙居县,上张乡,28.6258,120.8078,870,14,天顶茶场,K8949,32.4,22.4,0,0,999999,8.2,5.4
