,StationName,lat,lon,IIiii
0,义乌,29.31666667,120.0666667,58557
1,东阳,29.26666667,120.2166667,58558
2,天台,29.15278,120.97056,58559
3,磐安,29.05,120.4333333,58560
4,白石山,29.26666667,121.5,58564
5,象山,29.46666667,121.8833333,58566
6,宁海,29.31666667,121.4333333,58567
7,三门,29.12278,121.38333,58568
8,石浦,29.2,121.95,58569
9,永康,28.9,120.0333333,58643
10,仙居,28.86722,120.71889,58652
11,括苍山,28.80972,120.9222,58653
12,缙云,28.66666667,120.0833333,58654
13,黄岩站,28.61806,121.09472,58655
14,乐清,28.06666667,120.9666667,58656
15,青田,28.15,120.2833333,58657
16,永嘉,28.15,120.6833333,58658
17,温州,28.03333333,120.65,58659
18,临海,28.87389,121.19278,58660
19,椒江口,28.6625,121.5108,58661
20,牛山,29.0131,121.7056,58662
21,东矶,28.71889,121.9156,58663
22,温岭,28.37278,121.35889,58664
23,洪家,28.61806,121.41639,58665
24,大陈,28.446,121.90333,58666
25,坎门,28.0775,121.27083,58667
26,披山,28.09583,121.52,58668
27,石塘,28.260317,121.616252,58669
28,文成,27.78333333,120.0833333,58750
29,平阳,27.66666667,120.5666667,58751
30,瑞安,27.78333333,120.65,58752
31,海安,27.8,120.7666667,58753
32,福鼎,27.33333333,120.2,58754
33,苍南,27.5,120.3833333,58755
34,霞关,27.16666667,120.4833333,58758
35,洞头,27.83333333,121.15,58760
36,鹿西,28,121.2333333,58761
37,大瞿,27.78333333,121.0833333,58762
38,南岳,28.18333333,121.1,58763
39,南麂,27.46666667,121.0833333,58764
40,北麂,27.63333333,121.2,58765
41,温州浮标1,27.55,121.4,58768
42,台山,27.01666667,120.6833333,F3501
43,沙埕,27.16666667,120.4166667,F3503
44,白琳,27.18333333,120.1666667,F3504
45,管阳,27.26666667,120.0333333,F3506
46,贯岭,27.38333333,120.2166667,F3507
47,F3508,27.38333333,120.1166667,F3508
48,F3510,27.31666667,120.3333333,F3510
49,F3514,27.01666667,120.2,F3514
50,F3517,27.15,120.4666667,F3517
51,F3832,27.25,120.2333333,F3832
52,宁波YJ,29.34,120.09,K0020
53,温州J,29.34,120.09,K0030
54,台州YJ,28.65,121.4,K0100
55,南溪温泉,29.36669922,121.3167038,K2033
56,石浦渔港V,29.21666667,121.9666667,K2190
57,董家,29.45,121.2333333,K2724
58,西店,29.48333333,121.4333333,K2811
59,峡山,29.48333333,121.5333333,K2812
60,深圳,29.36666667,121.3166667,K2813
61,茶山,29.38333333,121.6,K2814
62,望海岗,29.35,121.2166667,K2815
63,茶院,29.31666667,121.5333333,K2816
64,黄坛,29.3,121.2833333,K2817
65,枇杷山,29.21666667,121.5,K2818
66,胡陈,29.33333333,121.6666667,K2819
67,长街,29.21666667,121.75,K2820
68,大佳何,29.41666667,121.5333333,K2821
69,王爱,29.18333333,121.25,K2822
70,前童,29.23333333,121.35,K2823
71,蛇蟠涂,29.16666667,121.5,K2824
72,明港,29.2,121.65,K2825
73,桑州,29.13333333,121.3166667,K2826
74,雷虎岩,29.45,121.3333333,K2827
75,梅林,29.38333333,121.4333333,K2828
76,大壳岛,29.15,121.6833333,K2829
77,兰田庵,29.21666667,121.2,K2830
78,鸡垄山,29.26666667,121.5666667,K2831
79,白石山,29.26666667,121.5,K2832
80,洞门,29.25,121.6333333,K2834
81,杨染,29.26666667,121.2333333,K2835
82,东岙,29.18333333,121.4333333,K2836
83,车岙港,29.26666667,121.7166667,K2837
84,夏樟,29.46666667,121.3166667,K2838
85,南岭,29.15,121.3166667,K2839
86,宁东,29.26666667,121.6,K2840
87,柘浦街,29.33333333,121.5833333,K2841
88,史家,29.36666667,121.5,K2842
89,双溪,29.26666667,121.4333333,K2843
90,骆家坑,29.43333333,121.5166667,K2844
91,团联,29.41666667,121.5833333,K2845
92,下洋陈,29.2,121.3833333,K2846
93,山上方,29.21666667,121.4333333,K2847
94,岭口,29.48333333,121.3666667,K2848
95,张韩,29.36666667,121.6833333,K2849
96,联胜,29.3,121.6833333,K2850
97,欢乐佳田,29.23333333,121.6833333,K2851
98,下洋涂,29.18333333,121.7166667,K2852
99,洋溪,29.3,121.3666667,K2853
100,山洋,29.23333333,121.25,K2854
101,山上应,29.26666667,121.5166667,K2855
102,双盘涂,29.21666667,121.5333333,K2856
103,岔路,29.21666667,121.3166667,K2857
104,杜鹃步道,29.3,121.4666667,K2858
105,仇家,29.36666667,121.4,K2859
106,百鸟岩,29.26666667,121.2833333,K2860
107,里山,29.13333333,121.2833333,K2861
108,力洋,29.3,121.65,K2862
109,长田头,29.13,121.26,K2863
110,前岙,29.18,121.52,K2864
111,深甽,29.36666667,121.3166667,K2880
112,夏樟,29.46666667,121.3166667,K2881
113,茶山,29.38333333,121.6166667,K2882
114,联胜,29.3,121.6833333,K2883
115,仇家,29.36666667,121.4,K2884
116,百鸟岩,29.26666667,121.2833333,K2885
117,桑州,29.13333333,121.3166667,K2886
118,望海岗,29.35,121.2166667,K2887
119,杨染,29.26666667,121.2333333,K2888
120,黄坛,29.31666667,121.2833333,K2889
121,黄泥桥,29.43333333,121.7166667,K2912
122,墙头,29.46666667,121.7833333,K2916
123,银洋,29.4,121.8333333,K2917
124,泗洲头,29.38333333,121.7666667,K2918
125,新桥,29.3,121.8,K2920
126,昌国盐场,29.3,121.95,K2921
127,定塘,29.23333333,121.8333333,K2922
128,高塘,29.11666667,121.8166667,K2924
129,杨柳坑,29.05,121.9333333,K2925
130,山头王,29.35,121.85,K2929
131,麦地山,29.31666667,121.8,K2932
132,蒲湾,29.16666667,121.8833333,K2933
133,白玉湾,29.16666667,121.7833333,K2934
134,东陈,29.41666667,121.9,K2935
135,美人山,29.36666667,121.7833333,K2936
136,林港,29.11666667,121.8666667,K2937
137,渔港,29.21666667,121.9666667,K2938
138,寒山,29.46666667,121.6833333,K2940
139,土上村,29.46666667,121.6833333,K2941
140,三联,29.43333333,121.9333333,K2942
141,九顷,29.41666667,121.8666667,K2945
142,里岙,29.26666667,121.8333333,K2946
143,双下湾,29.16666667,121.9666667,K2947
144,丹城,29.48333333,121.8833333,K2948
145,塔山,29.48333333,121.8833333,K2953
146,绿科农场,29.41,121.87,K2960
147,石鹤汽渡,29.18,121.93,K2961
148,亚帆中心,29.45,121.98,K2962
149,蓝尚海洋科技,29.47,121.8,K2963
150,半边山,29.26,121.96,K2967
151,银洋,29.4,121.8333333,K2980
152,杨柳坑,29.06666667,121.9333333,K2981
153,黄泥桥,29.43333333,121.7166667,K2982
154,定塘中学,29.23333333,121.8333333,K2983
155,小门,28,121.0666667,K3002
156,灵昆,27.95,120.8833333,K3003
157,北雁荡,28.36666667,121.1333333,K3004
158,白石,28.1,120.85,K3005
159,永安,27.91666667,120.3333333,K3006
160,北麂,27.63333333,121.2,K3007
161,大树村,27.78333333,120.2333333,K3008
162,南岳,28.18333333,121.1,K3009
163,南雁,27.6,120.25,K3010
164,霞关,27.16666667,120.4833333,K3011
165,苍坡村,28.36666667,120.7333333,K3012
166,新安,27.48333333,120.55,K3013
167,岭底,28.28639,120.9603,K3014
168,智仁,28.48333333,121.1166667,K3015
169,湖雾,28.3925,121.2022,K3017
170,翁垟,28.03333333,120.9666667,K3018
171,岐头山,27.98111,120.9469,K3019
172,赵垟村,27.61666667,120.15,K3020
173,凤卧,27.65,120.2833333,K3021
174,西湾,27.63333333,120.6666667,K3022
175,渔寮,27.26666667,120.5166667,K3023
176,舥艚,27.5,120.6333333,K3024
177,玉苍山,27.51666667,120.3,K3025
178,北林垟,27.99361,120.375,K3026
179,永兴,27.85,120.8333333,K3027
180,双潮,28.13333333,120.4333333,K3028
181,钟山,28.05,120.55,K3029
182,大罗山,27.9,120.75,K3030
183,鳌江,27.61666667,120.55,K3031
184,梅溪,27.63333333,120.4666667,K3032
185,腾蛟,27.68333333,120.3166667,K3033
186,水头,27.63333333,120.35,K3034
187,玉壶,27.88333333,120.1666667,K3038
188,永强,27.91666667,120.7666667,K3040
189,瞿溪,27.98333333,120.55,K3041
190,泽雅,27.98333333,120.4166667,K3042
191,藤桥,28.06666667,120.5,K3043
192,马站,27.26666667,120.4833333,K3044
193,昌禅,27.38889,120.4028,K3045
194,莒溪,27.5,120.1833333,K3046
195,金乡,27.45,120.6333333,K3047
196,云岩,27.51666667,120.5,K3048
197,桥头,28.21666667,120.4333333,K3049
198,巽宅,28.36666667,120.4833333,K3050
199,鲤溪,28.4,120.7833333,K3051
200,中堡,28.44583,120.9336,K3052
201,砩头,28.38333333,121.0166667,K3053
202,城北,28.16666667,120.9,K3054
203,磐石,28,120.8333333,K3055
204,淡溪,28.24972,120.9858,K3056
205,巨屿,27.68333333,120.1,K3058
206,海安,27.8,120.7666667,K3059
207,阁三村,27.7,120.6666667,K3060
208,雅阳,27.38333333,120.0333333,K3062
209,月湖,27.41666667,120.2,K3064
210,朱雅,27.96666667,120.15,K3066
211,桂山,27.58333333,120.0833333,K3067
212,鹿西,28,121.2333333,K3068
213,状元岙,27.88333333,121.1166667,K3069
214,乌牛,28.11666667,120.8166667,K3070
215,西溪,28.23333333,120.5,K3071
216,溪下,28.48333333,120.4833333,K3072
217,四海山,28.5,120.75,K3073
218,北龙,27.68333333,120.9833333,K3074
219,树排头村,27.78333333,120.4833333,K3075
