,Cnty,Province,Town,Station_levl,Station_Name,City,Station_Id_C,Lat,Lon,Alti,PRE,value
0,玉环市,浙江省,坎门街道,12,玉环,台州市,58667,28.0775,121.2708,95.9,0.9,0.9
1,玉环市,浙江省,玉城街道,14,西滩,台州市,K8561,28.1667,121.1903,3.0,12.9,12.9
2,玉环市,浙江省,大麦屿街道,14,大麦屿,台州市,K8517,28.1031,121.1358,18.0,4.8,4.8
3,玉环市,浙江省,大麦屿街道,14,鲜迭,台州市,K8507,28.0917,121.2042,280.0,16.0,16.0
4,玉环市,浙江省,玉城街道,14,江岩村,台州市,K8549,28.1733,121.1492,136.0,38.1,38.1
5,玉环市,浙江省,玉城街道,14,玉城,台州市,K8505,28.1256,121.2369,6.0,25.3,25.3
6,玉环市,浙江省,坎门街道,14,坎门污水,台州市,K8557,28.1092,121.2956,5.0,4.0,4.0
7,玉环市,浙江省,清港镇,14,苔山塘,台州市,K8556,28.2742,121.2564,13.0,20.0,20.0
8,玉环市,浙江省,大麦屿街道,14,环海,台州市,K8559,28.06,121.1528,5.0,16.0,16.0
9,玉环市,浙江省,海山乡,14,海山,台州市,K8504,28.21,121.1575,2.0,67.2,67.2
10,玉环市,浙江省,干江镇,14,垟岭村,台州市,K8548,28.1886,121.3475,158.0,40.2,40.2
11,玉环市,浙江省,龙溪乡,14,龙溪樱桃,台州市,K8518,28.2089,121.3289,26.0,83.8,83.8
12,玉环市,浙江省,坎门街道,14,双龙村,台州市,K8547,28.1,121.255,58.0,3.4,3.4
13,玉环市,浙江省,玉城街道,14,城中村,台州市,K8560,28.1625,121.2331,4.0,13.6,13.6
14,玉环市,浙江省,楚门镇,14,楚门,台州市,K8512,28.2169,121.3014,25.0,62.3,62.3
15,玉环市,浙江省,芦浦镇,14,芦浦,台州市,K8511,28.1983,121.2414,98.0,6.7,6.7
16,玉环市,浙江省,清港镇,14,清港,台州市,K8501,28.2569,121.2867,18.0,87.4,87.4
17,玉环市,浙江省,鸡山乡,14,中鹿岛,台州市,K8546,28.0569,121.4106,90.0,2.8,2.8
18,玉环市,浙江省,经济开发区,14,新城绿道,台州市,K8563,28.2211,121.2411,2.0,14.8,14.8
19,玉环市,浙江省,大麦屿街道,14,大岩头,台州市,K8545,28.0467,121.1631,236.0,11.8,11.8
20,玉环市,浙江省,清港镇,14,垟根村,台州市,K8558,28.2631,121.3233,7.0,66.3,66.3
21,玉环市,浙江省,沙门镇,14,大圆头,台州市,K8544,28.2419,121.4161,140.0,8.1,8.1
22,玉环市,浙江省,鸡山乡,14,大鹿岛,台州市,K8506,28.0922,121.4039,30.0,1.4,1.4
