,Cnty,Province,Town,Station_levl,Station_Name,City,Station_Id_C,Lat,Lon,Alti,PRE
0,鄞州区,浙江省,白鹤街道,14,道士堰公园,宁波市,K2474,29.8575,121.55,8.0,2.9
1,鄞州区,浙江省,新明街道,14,科技公园,宁波市,KB501,29.89,121.62,6.2,0.1
2,新昌县,浙江省,儒岙镇,14,关岭,绍兴市,K4827,29.3044,120.9322,390.0,0.0
3,鄞州区,浙江省,姜山镇,12,鄞州,宁波市,58562,29.7956,121.5,6.4,1.2
4,武宁县,江西省,,14,武宁宋溪山口,九江市,J1220,29.3028,115.0386,999999.0,0.0
5,政和县,福建省,,16,政和澄源乡,南平市,F9603,27.3119,119.1481,1028.0,3.5
6,安溪县,福建省,,16,安溪虎邱十五中,泉州市,F5423,25.0036,117.9953,228.2,0.0
7,衢江区,浙江省,全旺镇,14,山铺村,衢州市,K7430,28.9467,119.0647,72.0,10.6
8,萧山区,浙江省,党湾镇,14,幸福村,杭州市,K1229,30.2331,120.5358,7.0,0.0
9,磐安县,浙江省,尖山镇,14,尖山,金华市,K6083,29.2092,120.7125,532.0,0.0
10,武夷山市,福建省,,14,武夷山洋庄村,南平市,F9257,27.8089,117.9483,270.0,0.0
11,武夷山市,福建省,,14,武夷山兴田村,南平市,F9248,27.4992,118.075,168.0,1.7
12,福鼎市,福建省,,14,福鼎沈青村,宁德市,F3509,27.3747,119.9911,999999.0,0.0
13,上高县,江西省,,14,上高新界埠冷水坑,宜春市,J5241,28.2167,115.05,999999.0,23.0
14,虹口区,上海市,,16,虹口欧阳路,上海市,A4005,31.2756,121.4792,999999.0,0.3
15,赣县,江西省,,14,赣县大埠夏汶,赣州市,J9603,25.7411,115.1133,999999.0,0.0
16,德兴市,江西省,,14,花桥昭林,上饶市,J2057,28.9569,117.765,999999.0,3.9
17,淳安县,浙江省,千岛湖镇,14,坪山村,杭州市,K1368,29.6033,119.1572,180.0,0.0
18,龙游县,浙江省,詹家镇,14,詹家镇,衢州市,K7308,28.9978,119.0953,55.0,1.0
19,龙游县,浙江省,溪口镇,14,枫林村,衢州市,K7317,28.8769,119.2056,218.0,0.6
20,松阳县,浙江省,西屏街道,14,塔寺下村,丽水市,K7952,28.4594,119.4664,110.0,7.4
21,含山县,安徽省,,14,芜合K108,马鞍山市,I9917,31.6261,117.95,999999.0,0.0
22,安溪县,福建省,,14,益岭村小学,泉州市,F5488,25.115,117.9058,572.0,0.0
23,怀宁县,安徽省,,14,怀宁高河,安庆市,I6857,30.7258,116.8747,18.2,0.0
24,福鼎市,福建省,,14,太姥山景区,宁德市,F3525,27.1236,120.1989,546.2,0.0
25,瑞昌市,江西省,,16,瑞昌花园,九江市,J1100,29.5953,115.3272,123.0,0.0
26,广昌县,江西省,,14,广昌新安,抚州市,J6092,26.7503,116.3,999999.0,0.0
27,武夷山市,福建省,,16,武夷山岚谷,南平市,F9225,27.9339,118.1764,999999.0,0.0
28,沭阳县,江苏省,,16,沭阳青伊湖,宿迁市,M5180,34.3189,118.8953,999999.0,0.0
29,江阴市,江苏省,,14,长泾镇,无锡市,M3893,31.7372,120.4992,999999.0,0.0
30,沭阳县,江苏省,,14,沭阳韩山,宿迁市,M5179,34.2286,118.9778,999999.0,0.0
31,兰陵县,山东省,,14,兰陵新兴镇政府,临沂市,D5144,34.8064,117.8228,999999.0,0.0
32,武穴市,湖北省,,14,武穴大闸,黄冈市,Q9709,29.8611,115.6181,20.0,0.3
33,团风县,湖北省,,14,团风百丈岩,黄冈市,Q9811,30.7794,115.0442,999999.0,0.1
34,萧山区,浙江省,浦阳镇,14,江西俞村,杭州市,K1082,29.9406,120.2789,26.0,0.2
35,德兴市,江西省,,14,铜埠水泵站,上饶市,J2282,29.0703,117.7208,999999.0,0.7
36,磐安县,浙江省,方前镇,14,方前,金华市,K6081,29.0497,120.6836,200.0,0.0
37,海曙区,浙江省,古林镇,14,古林,宁波市,K2414,29.84,121.4325,6.0,0.3
38,淳安县,浙江省,浪川乡,14,洪家村,杭州市,K1290,29.4744,118.5883,126.0,0.0
39,磐安县,浙江省,安文街道,12,磐安,金华市,58560,29.0533,120.4364,304.8,0.0
