,City,Cnty,Station_Id_C,Province,Station_levl,Station_Name,Town,Alti,Lat,Lon,PRE
0,台州市,天台县,58559,浙江省,12,天台,始丰街道,107.6,29.1528,120.9706,0.0
1,台州市,三门县,58568,浙江省,12,三门,海游街道,34.5,29.1228,121.3833,0.0
2,台州市,仙居县,58652,浙江省,12,仙居,安洲街道,83.2,28.8672,120.7189,0.0
3,台州市,临海市,58653,浙江省,13,括苍山,括苍镇,1382.4,28.8097,120.9219,0.0
4,台州市,临海市,58660,浙江省,12,临海,大洋街道,6.3,28.8739,121.1928,0.0
5,台州市,椒江区,58661,浙江省,13,椒江口,海门街道,3.0,28.6625,121.5108,0.0
6,台州市,三门县,58662,浙江省,13,牛山,浦坝港镇,60.0,29.0131,121.7056,0.0
7,台州市,临海市,58663,浙江省,13,东矶,上盘镇,96.0,28.7189,121.9156,0.0
8,台州市,温岭市,58664,浙江省,12,温岭,太平街道,35.0,28.3728,121.3589,0.0
9,台州市,椒江区,58665,浙江省,12,洪家,洪家街道,4.6,28.6181,121.4164,0.0
10,台州市,椒江区,58666,浙江省,11,大陈,大陈镇,89.1,28.4514,121.9033,0.0
11,台州市,玉环市,58667,浙江省,12,玉环,坎门街道,95.9,28.0775,121.2708,0.0
12,台州市,玉环市,58668,浙江省,13,披山,鸡山乡,121.0,28.0958,121.52,0.0
13,台州市,温岭市,58669,浙江省,13,石塘,石塘镇,75.0,28.2603,121.6164,0.0
14,台州市,石油平台,K0806,浙江省,14,天外天C平台,-,45.8,28.35,124.9333,0.0
15,台州市,椒江区,K8001,浙江省,14,赤龙,白云街道,27.0,28.6547,121.4189,0.0
16,台州市,椒江区,K8003,浙江省,14,绿心,葭沚街道,205.0,28.6389,121.3522,0.0
17,台州市,椒江区,K8101,浙江省,14,东方红,海门街道,21.0,28.6781,121.4467,0.0
18,台州市,椒江区,K8103,浙江省,14,涛江闸,前所街道,13.0,28.6967,121.4897,0.0
19,台州市,椒江区,K8104,浙江省,14,马峙,章安街道,21.0,28.7539,121.4047,0.0
20,台州市,椒江区,K8106,浙江省,14,大桥,章安街道,5.0,28.7081,121.3967,0.0
21,台州市,椒江区,K8107,浙江省,14,下陈,下陈街道,4.0,28.5931,121.4592,0.0
22,台州市,椒江区,K8108,浙江省,14,柏树里,章安街道,6.0,28.7303,121.4508,0.0
23,台州市,椒江区,K8109,浙江省,14,新佳果,三甲街道,3.0,28.6194,121.5092,0.0
24,台州市,椒江区,K8110,浙江省,14,上大陈,大陈镇,55.0,28.4964,121.9056,0.0
25,台州市,椒江区,K8111,浙江省,14,二桥,前所街道,30.0,28.6944,121.4744,0.0
26,台州市,椒江区,K8112,浙江省,14,岳头村,海门街道,5.0,28.6642,121.4556,0.0
27,台州市,椒江区,K8113,浙江省,14,污水厂,海虹街道,3.0,28.65,121.5119,0.0
28,台州市,椒江区,K8114,浙江省,14,雷达站,三甲街道,3.0,28.6186,121.5228,0.0
29,台州市,椒江区,K8115,浙江省,14,挡港桥,洪家街道,11.0,28.5903,121.3997,0.0
30,台州市,椒江区,K8116,浙江省,14,一江山,大陈镇,50.0,28.6086,121.8156,0.0
31,台州市,椒江区,K8118,浙江省,14,乌石,葭沚街道,5.0,28.6833,121.375,0.0
32,台州市,椒江区,K8121,浙江省,14,柑橘良种场,章安街道,150.0,28.7361,121.3692,0.0
33,台州市,椒江区,K8122,浙江省,14,烟草中心,三甲街道,3.0,28.59,121.5361,0.0
34,台州市,椒江区,K8123,浙江省,14,虾浦,大陈镇,160.0,28.5056,121.89,0.0
35,台州市,椒江区,K8124,浙江省,14,洪家二中,洪家街道,5.0,28.6097,121.4144,0.0
36,台州市,椒江区,K8127,浙江省,14,江北药业,章安街道,5.0,28.7061,121.3672,0.0
37,台州市,椒江区,K8128,浙江省,14,李宅,章安街道,45.0,28.76,121.3928,0.0
38,台州市,椒江区,K8129,浙江省,14,六联小学,前所街道,6.0,28.7178,121.4994,0.0
39,台州市,椒江区,K8130,浙江省,14,海正育才小学,下陈街道,11.0,28.6131,121.4469,0.0
40,台州市,椒江区,K8135,浙江省,14,横河陈,下陈街道,4.0,28.6239,121.4308,0.0
41,台州市,椒江区,K8136,浙江省,14,高铁台州站,葭沚街道,5.0,28.6575,121.3764,0.0
42,台州市,椒江区,K8137,浙江省,14,台州植物园,葭沚街道,10.0,28.6331,121.3572,0.0
43,台州市,椒江区,K8138,浙江省,14,创谷基金港,葭沚街道,5.0,28.6289,121.3872,0.0
44,台州市,椒江区,K8141,浙江省,14,江滨公园,白云街道,5.0,28.6856,121.4328,0.0
45,台州市,椒江区,K8191,浙江省,14,新民小学,前所街道,6.0,28.7058,121.4144,0.0
46,台州市,黄岩区,K8201,浙江省,14,气象大楼,东城街道,45.0,28.6625,121.28,0.0
47,台州市,黄岩区,K8202,浙江省,14,宁溪备份,宁溪镇,150.0,28.5917,120.9753,0.0
48,台州市,黄岩区,K8203,浙江省,14,沙埠,沙埠镇,43.0,28.5481,121.1744,0.0
49,台州市,黄岩区,K8204,浙江省,14,长潭,北洋镇,57.0,28.6108,121.0583,0.0
50,台州市,黄岩区,K8205,浙江省,14,头陀,头陀镇,16.0,28.6742,121.1369,0.0
51,台州市,黄岩区,K8206,浙江省,14,富山,富山乡,710.0,28.5358,120.9131,0.0
52,台州市,黄岩区,K8207,浙江省,14,白石,屿头乡,757.0,28.6744,120.9375,0.0
53,台州市,黄岩区,K8208,浙江省,14,上凤,屿头乡,160.0,28.6522,121.0108,0.0
54,台州市,黄岩区,K8209,浙江省,14,下余,上郑乡,256.0,28.6058,120.8744,0.0
55,台州市,黄岩区,K8210,浙江省,14,上垟,上垟乡,77.0,28.5153,121.0083,0.0
56,台州市,黄岩区,K8212,浙江省,14,江口,江口街道,7.0,28.6903,121.3275,0.0
57,台州市,黄岩区,K8213,浙江省,14,院桥,院桥镇,7.0,28.5497,121.2981,0.0
58,台州市,黄岩区,K8214,浙江省,14,高桥,高桥街道,45.0,28.5844,121.2314,0.0
59,台州市,黄岩区,K8215,浙江省,14,新前,新前街道,13.0,28.6814,121.2067,0.0
60,台州市,黄岩区,K8216,浙江省,14,茅畲,茅畲乡,29.0,28.595,121.1314,0.0
61,台州市,黄岩区,K8217,浙江省,16,澄江,澄江街道,12.0,28.6322,121.1736,0.0
62,台州市,黄岩区,K8218,浙江省,14,科技学院,东城街道,8.0,28.6694,121.2539,0.0
63,台州市,黄岩区,K8219,浙江省,14,铅锌矿,上郑乡,185.0,28.6111,120.9317,0.0
64,台州市,黄岩区,K8220,浙江省,14,北洋,北洋镇,25.0,28.6206,121.0978,0.0
65,台州市,黄岩区,K8221,浙江省,14,平田,平田乡,393.0,28.5381,121.0739,0.0
66,台州市,黄岩区,K8222,浙江省,14,大寺基,上郑乡,1143.0,28.5842,120.7997,0.1
67,台州市,黄岩区,K8223,浙江省,14,沙门店,院桥镇,7.0,28.5575,121.2686,0.0
68,台州市,黄岩区,K8224,浙江省,14,黄岩大瀑布,上郑乡,263.0,28.6047,120.8556,0.0
69,台州市,黄岩区,K8225,浙江省,14,牌门,宁溪镇,121.0,28.5272,120.9522,0.0
70,台州市,黄岩区,K8226,浙江省,14,委羽山,西城街道,19.0,28.6247,121.2394,0.0
71,台州市,黄岩区,K8227,浙江省,14,十里铺,南城街道,20.0,28.6125,121.2672,0.0
72,台州市,黄岩区,K8228,浙江省,14,江心屿,江口街道,10.0,28.6956,121.3256,0.0
73,台州市,黄岩区,K8229,浙江省,14,白鹭湾,宁溪镇,40.0,28.6122,120.9992,0.0
74,台州市,黄岩区,K8230,浙江省,14,黄毛山,平田乡,646.0,28.5753,121.0769,0.0
75,台州市,黄岩区,K8240,浙江省,14,东城小学,东城街道,25.0,28.6611,121.2906,0.0
76,台州市,黄岩区,K8241,浙江省,14,王林村,北城街道,15.0,28.685,121.2867,0.0
77,台州市,黄岩区,K8242,浙江省,14,长滩,屿头乡,92.0,28.6603,120.9892,0.0
78,台州市,黄岩区,K8243,浙江省,14,岭根,宁溪镇,131.0,28.5472,120.9364,0.0
79,台州市,黄岩区,K8244,浙江省,14,下抱水库,新前街道,135.0,28.7097,121.2208,0.0
80,台州市,黄岩区,K8245,浙江省,14,南正顶,富山乡,930.0,28.5103,120.8578,0.0
81,台州市,黄岩区,K8246,浙江省,14,蒋东岙,上郑乡,272.0,28.6125,120.9275,0.0
82,台州市,黄岩区,K8247,浙江省,14,五尖山,北洋镇,433.0,28.6661,121.0386,0.0
83,台州市,黄岩区,K8248,浙江省,14,元同溪闸,头陀镇,14.0,28.6242,121.1458,0.0
84,台州市,黄岩区,K8249,浙江省,14,黄土岭,北城街道,26.0,28.6831,121.2394,0.0
85,台州市,黄岩区,K8250,浙江省,14,联丰,北洋镇,53.0,28.6528,121.0689,0.0
