,City,Cnty,Station_Id_C,Province,Station_levl,Station_Name,Town,Alti,Lat,Lon,wind,WIN_S_Gust_Max,WIN_D_Gust_Max,value
0,台州市,天台县,58559,浙江省,12,天台,始丰街道,107.6,29.1528,120.9706,13295.0,1.3,295,1.3
1,台州市,三门县,58568,浙江省,12,三门,海游街道,34.5,29.1228,121.3833,20040.0,2.0,40,2.0
2,台州市,仙居县,58652,浙江省,12,仙居,安洲街道,83.2,28.8672,120.7189,26040.0,2.6,40,2.6
3,台州市,临海市,58653,浙江省,13,括苍山,括苍镇,1382.4,28.8097,120.9219,51139.0,5.1,139,5.1
4,台州市,临海市,58660,浙江省,12,临海,大洋街道,6.3,28.8739,121.1928,46061.0,4.6,61,4.6
5,台州市,椒江区,58661,浙江省,13,椒江口,海门街道,3.0,28.6625,121.5108,53031.0,5.3,31,5.3
6,台州市,三门县,58662,浙江省,13,牛山,浦坝港镇,60.0,29.0131,121.7056,66353.0,6.6,353,6.6
7,台州市,临海市,58663,浙江省,13,东矶,上盘镇,96.0,28.7189,121.9156,110036.0,11.0,36,11.0
8,台州市,温岭市,58664,浙江省,12,温岭,太平街道,35.0,28.3728,121.3589,52024.0,5.2,24,5.2
9,台州市,椒江区,58665,浙江省,12,洪家,洪家街道,4.6,28.6181,121.4164,44043.0,4.4,43,4.4
10,台州市,椒江区,58666,浙江省,11,大陈,大陈镇,89.1,28.4514,121.9033,122021.0,12.2,21,12.2
11,台州市,玉环市,58667,浙江省,12,玉环,坎门街道,95.9,28.0775,121.2708,91030.0,9.1,30,9.1
12,台州市,玉环市,58668,浙江省,13,披山,鸡山乡,121.0,28.0958,121.52,127074.0,12.7,74,12.7
13,台州市,温岭市,58669,浙江省,13,石塘,石塘镇,75.0,28.2603,121.6164,152037.0,15.2,37,15.2
14,台州市,石油平台,K0806,浙江省,14,天外天C平台,-,45.8,28.35,124.9333,105061.0,10.5,61,10.5
15,台州市,椒江区,K8001,浙江省,14,赤龙,白云街道,27.0,28.6547,121.4189,59355.0,5.9,355,5.9
16,台州市,椒江区,K8003,浙江省,14,绿心,葭沚街道,205.0,28.6389,121.3522,53351.0,5.3,351,5.3
17,台州市,椒江区,K8101,浙江省,14,东方红,海门街道,21.0,28.6781,121.4467,37071.0,3.7,71,3.7
18,台州市,椒江区,K8103,浙江省,14,涛江闸,前所街道,13.0,28.6967,121.4897,51001.0,5.1,1,5.1
19,台州市,椒江区,K8104,浙江省,14,马峙,章安街道,21.0,28.7539,121.4047,47342.0,4.7,342,4.7
20,台州市,椒江区,K8106,浙江省,14,大桥,章安街道,5.0,28.7081,121.3967,50055.0,5.0,55,5.0
21,台州市,椒江区,K8107,浙江省,14,下陈,下陈街道,4.0,28.5931,121.4592,60036.0,6.0,36,6.0
22,台州市,椒江区,K8108,浙江省,14,柏树里,章安街道,6.0,28.7303,121.4508,35017.0,3.5,17,3.5
23,台州市,椒江区,K8109,浙江省,14,新佳果,三甲街道,3.0,28.6194,121.5092,64047.0,6.4,47,6.4
24,台州市,椒江区,K8110,浙江省,14,上大陈,大陈镇,55.0,28.4964,121.9056,109037.0,10.9,37,10.9
25,台州市,椒江区,K8111,浙江省,14,二桥,前所街道,30.0,28.6944,121.4744,63029.0,6.3,29,6.3
