,Unnamed: 0,IIiii,StationName,ItemList,IP,NNnn,EEEee,lon,lat,Height,H_Gnd,ZoomLevel,Selected,Province,City,County,Town,Village,Country,Address0,Type,Note,Address,TZAir,ShareF,Property,Index0
0,0,58653,括苍山,PTURF,255.0.0.0,2849,12055,120.9222,28.80972,13834,13824,2,False,浙江,台州,临海市,括苍镇,,临海市,临海市括苍山米筛廊山顶(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,YA",R
1,1,58661,椒江口,PTURFV,255.0.0.0,2840,12131,121.5108,28.6625,40,30,2,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区椒江口台风地标(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海航线TZW,RF
2,2,58662,牛山,PTURFV,255.0.0.0,2901,12142,121.7056,29.0131,610,600,2,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇浬浦牛山岛上(岛屿),区域站,中尺度,-         ,1.0,SHARED_VER,沿海航线,RFH
3,3,58663,东矶,PTURFV,255.0.0.0,2843,12155,121.9156,28.71889,970,960,2,True,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇东矶岛山上(岛屿),区域站,强风站,-         ,1.0,SHARED_VER,海岛航线,RF
4,4,58668,披山,PTURFV,255.0.0.0,2806,12131,121.52,28.09583,1220,1210,2,False,浙江,台州,玉环市,鸡山乡,,玉环市,玉环市披山岛(岛屿),区域站,中尺度,-         ,1.0,SHARED_VER,海岛航线,F
5,5,58669,石塘,PTURFV,255.0.0.0,2816,12137,121.616252,28.260317,750,750,2,False,浙江,台州,温岭市,石塘镇,,温岭市,温岭市石塘镇小山头(岛屿),区域站,中尺度,-         ,1.0,SHARED_VER,沿海航线,RFH
6,6,K8001,赤龙,PTURF,255.0.0.0,2839,12125,121.4189,28.65472,280,270,16,False,浙江,台州,椒江区,白云街道,,椒江区,台州市气象局大院(平原),区域站,中尺度,-         ,0.0,SHARED_VER,,R
7,7,K8003,绿心,PTURF,255.0.0.0,2838,12121,121.3521,28.638986,2060,2050,16,False,浙江,台州,椒江区,葭沚街道,,椒江区,椒江区葭沚街道井马村北侧山上,区域站,中尺度,-         ,0.0,,,
8,8,K8010,椒江口BD,PTURFV,255.0.0.0,2840,12131,121.5108,28.6625,40,30,64,False,浙江,台州,椒江区,,,椒江区,椒江区椒江口台风地标(平原),区域站,中尺度,-         ,0.0,,,
9,9,K8011,绿心BD,PTURF,255.0.0.0,2838,12121,121.3521,28.62899,1870,1860,64,False,浙江,台州,椒江区,葭沚街道,,椒江区,台州市经济开发区井马水库北侧山上-井马村(丘陵),区域站,中尺度,-         ,0.0,,,
10,10,K8013,虾捕BD,TRF,255.0.0.0,2830,12153,121.8901,28.50553,1610,1600,64,False,浙江,台州,椒江区,大陈镇,,椒江区,台州市椒江区大陈镇上大陈南岙村虾捕(岛屿),区域站,中尺度,-         ,,,,
