,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
0,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-11 10:00:00,289,97,86,86,77,5423,0
1,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-11 10:00:00,5,174,76,77,70,6324,0
2,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-11 10:00:00,347,130,77,79,72,6534,0
3,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-11 11:00:00,298,83,93,95,86,5087,0
4,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-11 11:00:00,6,161,79,81,74,6622,0
5,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-11 11:00:00,336,138,88,88,77,6813,0
6,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-11 12:00:00,314,95,98,98,94,4768,0
7,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-11 12:00:00,3,167,84,84,78,5670,0
8,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-11 12:00:00,348,116,97,97,88,6841,0
9,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-13 11:00:00,286,90,100,103,96,4820,0
10,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-13 11:00:00,357,151,90,93,89,7132,0
11,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-13 11:00:00,35,72,107,108,99,7273,0
12,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-13 12:00:00,278,108,100,103,100,3980,0
13,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-13 12:00:00,14,172,84,90,83,5700,0
14,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-13 12:00:00,23,81,115,115,107,8341,0
15,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-13 13:00:00,295,99,96,100,95,4077,0
16,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-13 13:00:00,14,164,80,85,79,4609,0
17,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-13 13:00:00,21,84,117,118,111,7512,0
18,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 11:00:00,322,30,128,128,105,6079,0
19,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 11:00:00,14,42,110,112,108,23122,0
20,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 11:00:00,75,44,111,121,110,7444,0
21,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 12:00:00,59,28,143,143,128,6848,0
22,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 12:00:00,34,75,103,110,103,21725,0
23,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 12:00:00,82,51,120,124,112,12615,0
24,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 13:00:00,78,55,137,146,136,6482,0
25,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 13:00:00,44,79,104,109,100,18684,0
26,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 13:00:00,74,53,126,129,120,12553,0
