,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
0,赤龙,椒江区,白云街道,28.65472,121.4189,K8001,2022-02-06 20:00:00,80,32,71,72,71,-9999,0
1,绿心,椒江区,葭沚街道,28.638986,121.3521,K8003,2022-02-06 20:00:00,21,40,50,50,49,-9999,0
2,绿心雪深,椒江区,绿心委,28.63889,121.3522,K8031,2022-02-06 20:00:00,-9999,-9999,-9999,-9999,-9999,-9999,0
3,东方红,椒江区,海门街道,28.67805,121.4467,K8101,2022-02-06 20:00:00,75,32,70,71,70,-9999,0
4,涛江闸,椒江区,前所街道,28.69667,121.4897,K8103,2022-02-06 20:00:00,15,33,71,72,71,-9999,0
5,马峙,椒江区,章安街道,28.75389,121.4047,K8104,2022-02-06 20:00:00,5,18,67,71,67,-9999,0
6,大桥,椒江区,章安街道,28.70806,121.3967,K8106,2022-02-06 20:00:00,52,18,73,75,73,9384,0
7,下陈,椒江区,下陈街道,28.59306,121.4592,K8107,2022-02-06 20:00:00,59,35,70,71,69,-9999,0
8,柏树里,椒江区,章安街道,28.73028,121.4508,K8108,2022-02-06 20:00:00,70,37,71,71,70,-9999,0
9,新佳果,椒江区,三甲街道,28.61944,121.5092,K8109,2022-02-06 20:00:00,64,44,70,70,69,-9999,0
10,上大陈,椒江区,大陈镇,28.49639,121.9056,K8110,2022-02-06 20:00:00,40,123,71,71,71,-9999,0
11,二桥,椒江区,前所街道,28.69444,121.4744,K8111,2022-02-06 20:00:00,51,36,67,68,66,20000,0
12,岳头村,椒江区,海门街道,28.66417,121.4556,K8112,2022-02-06 20:00:00,48,32,72,72,72,-9999,0
13,污水厂,椒江区,海门街道,28.64,121.5019,K8113,2022-02-06 20:00:00,25,20,68,70,68,-9999,0
14,雷达站,椒江区,三甲街道,28.61722,121.522441,K8114,2022-02-06 20:00:00,58,25,70,71,70,22796,0
15,挡港桥,椒江区,洪家街道,28.59028,121.3997,K8115,2022-02-06 20:00:00,61,31,70,71,69,-9999,0
16,大陈码头,椒江区,大陈镇,28.45333,121.8894,K8117,2022-02-06 20:00:00,-9999,-9999,-9999,-9999,-9999,30000,0
17,乌石,椒江区,葭沚街道,28.68333,121.375,K8118,2022-02-06 20:00:00,63,28,71,72,71,-9999,0
18,台州湾大桥,椒江区,海门街道,28.67805,121.5119,K8120,2022-02-06 20:00:00,50,52,67,68,67,-9999,0
19,柑橘良种场,椒江区,章安街道,28.73611,121.3692,K8121,2022-02-06 20:00:00,90,56,58,60,58,-9999,0
20,烟草中心,椒江区,三甲街道,28.59,121.5361,K8122,2022-02-06 20:00:00,39,44,71,71,71,-9999,0
21,虾捕,椒江区,大陈镇,28.50553,121.8901,K8123,2022-02-06 20:00:00,59,130,60,60,59,-9999,0
22,洪家二中,椒江区,i洪家街道,28.60372,121.4144,K8124,2022-02-06 20:00:00,121,18,71,72,71,-9999,0
23,上大陈码头,椒江区,大陈镇,28.47861,121.8731,K8125,2022-02-06 20:00:00,-9999,-9999,-9999,-9999,-9999,28335,0
24,江北药业,椒江区,章安街道,28.70611,121.3672,K8127,2022-02-06 20:00:00,102,25,69,70,68,-9999,0
25,李宅村,椒江区,章安街道,28.76,121.3928,K8128,2022-02-06 20:00:00,347,39,65,69,64,-9999,0
26,新民小学,椒江区,前所街道,28.70583,121.4325,K8191,2022-02-06 20:00:00,83,32,73,74,73,-9999,0
27,黄岩局,黄岩区,东城街道,28.6525,121.28,K8201,2022-02-06 20:00:00,98,26,70,72,70,28286,0
28,宁溪,黄岩区,宁溪镇,28.59167,120.9753,K8202,2022-02-06 20:00:00,239,9,50,52,50,-9999,0
29,沙埠,黄岩区,沙埠镇,28.54806,121.1744,K8203,2022-02-06 20:00:00,243,18,60,62,60,-9999,0
30,长潭,黄岩区,北洋镇,28.61028,121.0614,K8204,2022-02-06 20:00:00,160,20,60,61,59,-9999,0
31,头陀,黄岩区,头陀镇,28.67417,121.1369,K8205,2022-02-06 20:00:00,325,10,58,61,58,17044,0
32,富山,黄岩区,富山乡,28.53583,120.9131,K8206,2022-02-06 20:00:00,108,20,7,10,7,-9999,0
33,白石,黄岩区,屿头乡,28.67444,120.9375,K8207,2022-02-06 20:00:00,83,43,2,3,2,-9999,0
34,屿头,黄岩区,屿头乡,28.65211,121.01093,K8208,2022-02-06 20:00:00,337,11,51,53,50,-9999,0
35,上郑,黄岩区,上郑乡,28.60583,120.8744,K8209,2022-02-06 20:00:00,172,10,35,38,35,-9999,0
36,上垟,黄岩区,上垟乡,28.515366,121.008268,K8210,2022-02-06 20:00:00,212,7,51,54,51,18374,0
