,IIiii,tTime,P02,P08,P14,P20,Pa,Px,Pn,P002,P008,P014,P020,P0a,T02,T08,T14,T20,Ta,Tx,Tn,Tw02,Tw08,Tw14,Tw20,E02,E08,E14,E20,Ea,U02,U08,U14,U20,Ua,Un,N02,N08,N14,N20,Na,Nl02,Nl08,Nl14,Nl20,Nla,C02,C08,C14,C20,V02,V08,V14,V20,R20_08,R08_20,R20_20,WW,Ls,Lb,Zd,Zp,dF02,fF02,dF08,fF08,dF14,fF14,dF20,fF20,Fa,dFx,fFx,dFy,fFy,S,D0002,D0008,D0014,D0020,D00a,D00x,D00n,D0502,D0508,D0514,D0520,D05a,D1002,D1008,D1014,D1020,D10a,D1502,D1508,D1514,D1520,D15a,D2002,D2008,D2014,D2020,D20a,Tn_Tmr,R08_Tmr
0,58451,2022-02-10,10247,10265,10241,10243,10249,10267,10236,10252,10270,10246,10248,10254,45,46,81,32,51,84,31,-9999,-9999,-9999,-9999,77,76,64,70,72,92,90,59,91,83,54,0,0,0,0,0,0,0,0,0,0,,,,,29,26,120,30,2,-1,2,"(60,10,50,)10,.",9,9,-1,-1,NW,15,NNW,6,NNW,9,E,8,10,NNW,23,NNW,43,1,49,53,128,38,67,-9999,-9999,57,55,98,60,68,65,61,83,75,71,71,67,76,82,74,76,73,75,84,77,-9999,-9999
1,58459,2022-02-10,10131,10147,10122,10124,10131,10152,10116,10254,10270,10244,10246,10254,33,35,70,47,46,71,31,-9999,-9999,-9999,-9999,76,75,76,76,76,98,95,76,89,90,71,0,0,0,0,0,0,0,0,0,0,,,,,14,29,89,37,2,-1,2,"(60,42;340,50,10,)10,.",7,7,-1,-1,WNW,18,WNW,12,N,25,ESE,20,19,NE,37,NE,58,0,41,47,122,54,66,-9999,-9999,49,48,87,65,62,54,52,70,70,62,56,55,63,69,61,59,57,61,69,62,-9999,-9999
2,58477,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-1,,-9999,-9999,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
3,58549,2022-02-10,10172,10186,10151,10150,10165,10190,10144,10252,10266,10230,10230,10244,50,49,87,70,64,92,47,-9999,-9999,-9999,-9999,84,81,76,75,79,96,94,68,75,83,64,0,0,0,0,0,0,0,0,0,0,,,,,59,43,200,179,0,-1,0,"(50,10,)10,.",6,6,-1,-1,N,3,ENE,14,ENE,27,ENE,31,19,ENE,33,ENE,72,0,58,59,132,66,79,-9999,-9999,63,61,118,79,80,68,66,102,87,81,73,71,90,91,81,77,76,84,91,82,-9999,-9999
4,58558,2022-02-10,10139,10154,10122,10126,10135,10159,10117,10253,10268,10235,10240,10249,42,47,83,64,59,95,41,-9999,-9999,-9999,-9999,79,82,78,72,78,96,96,71,75,84,64,0,0,0,0,0,0,0,0,0,0,,,,,53,56,200,124,1,0,1,"(50,10,)10,60 0954 1003,.",6,6,-1,-1,NW,8,NW,7,NNW,11,SE,23,12,ENE,24,E,46,6,49,57,136,66,77,-9999,-9999,56,55,115,78,76,63,60,94,85,76,70,67,84,88,77,71,69,76,84,75,-9999,-9999
5,58632,2022-02-10,10094,10102,10066,10056,10080,10103,10046,10253,10261,10224,10214,10238,45,43,78,69,59,79,39,-9999,-9999,-9999,-9999,81,81,82,82,82,96,97,78,82,88,76,0,0,0,0,0,0,0,0,0,0,,,,,63,43,108,159,3,0,3,"(50,10,)50 0800 0803,10,60 1817   2000,.",7,7,-1,-1,WSW,10,SW,3,NNE,35,NE,59,27,ENE,64,NE,101,2,52,59,125,61,74,-9999,-9999,61,60,113,76,78,66,64,94,83,77,70,68,86,85,77,73,71,80,85,77,-9999,-9999
6,58654,2022-02-10,10021,10036,10000,10003,10015,10042,9994,10251,10267,10228,10232,10244,46,48,94,72,65,95,45,-9999,-9999,-9999,-9999,81,83,81,78,81,96,96,69,77,84,65,0,0,0,0,0,0,0,0,0,0,,,,,42,28,200,200,7,0,7,"(50,10,)50 0800 0939,10,60 1920,.",8,8,-1,-1,NNE,9,C,1,NE,12,NW,12,8,N,27,N,50,0,58,62,160,79,90,-9999,-9999,65,62,133,89,87,71,67,109,96,86,74,70,92,96,83,79,76,85,96,84,-9999,-9999
7,58446,2022-02-10,10166,10178,10153,10152,10162,10182,10147,10259,10271,10245,10244,10255,29,33,59,49,42,62,27,-9999,-9999,-9999,-9999,74,77,74,70,74,99,99,80,81,90,74,0,0,0,0,0,0,0,0,0,0,,,,,22,43,154,64,0,-1,0,"(10,50,)10,.",6,6,10,-1,NNE,6,ESE,3,NNE,23,E,16,12,NNE,30,NNE,44,0,35,43,88,45,53,-9999,-9999,39,40,73,53,51,44,43,65,60,53,49,48,60,63,55,52,52,59,64,57,-9999,-9999
8,58467,2022-02-10,10238,10259,10236,10241,10244,10262,10232,10246,10267,10244,10249,10252,52,52,68,22,49,73,22,-9999,-9999,-9999,-9999,84,80,72,67,76,95,91,73,94,88,67,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,28,43,92,32,6,-1,6,"(10,50,60,)10,.",8,8,-1,-1,WNW,11,NW,14,NW,19,C,0,11,N,26,WNW,54,0,53,56,81,20,53,98,18,58,57,85,49,62,65,62,82,68,69,69,67,77,76,72,73,71,76,80,75,18,21
9,58484,2022-02-10,10193,10213,10196,10199,10200,10217,10190,10241,10261,10244,10247,10248,57,56,78,54,61,81,53,-9999,-9999,-9999,-9999,81,75,67,74,74,88,82,63,82,79,59,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,87,129,198,167,0,-1,0,"(50,10,60,).",13,13,-1,-1,NNE,55,N,60,NNE,31,NE,22,42,NNE,55,NNE,91,54,57,67,160,38,81,195,37,66,62,127,66,80,75,69,109,88,85,80,76,97,96,87,85,81,92,99,89,54,3
