,IIiii,tTime,dF2,fF2,dF10,fF10,dFx,fFx,t_Fx,dF,fF,dFy,fFy,t_Fy,RR,FellRain,FellRainAmount,T,Tx,t_Tx,Tn,t_Tn,U,Un,t_Un,E,Td,P,Px,t_Px,Pn,t_Pn,D,Dx,t_Dx,Dn,t_Dn,D05,D10,D15,D20,D40,D80,D160,D320,L,P0,VV,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60
0,58653,2022-01-26 00:00:00,162,39,166,37,203,54,,161,40,204,63,,1,,,32,38,,32,,100,100,,77,32,8646,8650,,8646,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10235,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,58661,2022-01-26 00:00:00,27,21,29,19,32,23,,26,21,13,34,,0,,,89,94,,89,,85,79,,97,65,10235,10236,,10233,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10240,3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,58662,2022-01-26 00:00:00,339,64,336,70,340,74,,334,64,332,88,,2,,,72,75,,71,,100,96,,102,72,10179,10183,,10179,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10255,1110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,58663,2022-01-26 00:00:00,351,80,354,82,347,99,,348,80,348,110,,0,,,80,85,,80,,94,89,,101,71,10127,10129,,10125,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10247,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,58668,2022-01-26 00:00:00,59,69,63,76,49,85,,49,64,45,120,,0,,,86,89,,86,,90,90,,100,71,10090,10091,,10089,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10240,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,58669,2022-01-26 00:00:00,29,64,33,64,26,73,,30,67,38,116,,0,,,87,90,,87,,91,89,,102,73,10144,10147,,10143,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10238,4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,58653,2022-01-26 01:00:00,180,37,179,41,170,62,,183,39,176,78,,1,,,33,34,,30,,100,100,,77,33,8645,8646,,8641,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10232,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,58661,2022-01-26 01:00:00,59,17,52,18,33,24,,48,20,31,35,,1,,,85,89,,85,,88,85,,98,66,10229,10236,,10229,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10234,2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,58662,2022-01-26 01:00:00,354,56,358,51,341,73,,5,55,341,82,,0,,,71,74,,71,,100,100,,101,71,10177,10182,,10172,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10253,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,58663,2022-01-26 01:00:00,358,77,358,76,353,85,,3,54,352,96,,1,,,77,80,,76,,94,93,,99,68,10122,10130,,10121,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10242,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58668,2022-01-26 01:00:00,69,63,69,68,57,81,,62,58,62,110,,0,,,85,87,,85,,92,90,,102,73,10086,10091,,10086,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10236,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,58669,2022-01-26 01:00:00,38,66,36,63,24,66,,49,86,9,96,,0,,,86,87,,86,,90,90,,100,71,10140,10146,,10140,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10234,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,58653,2022-01-26 02:00:00,168,46,167,49,169,59,,172,46,183,80,,0,,,27,33,,24,,100,100,,74,27,8641,8645,,8641,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10229,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,58661,2022-01-26 02:00:00,358,23,4,24,4,24,,356,20,6,31,,0,,,86,86,,85,,88,87,,98,67,10229,10231,,10229,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10234,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,58662,2022-01-26 02:00:00,341,63,350,55,351,59,,343,67,344,76,,0,,,75,75,,72,,99,99,,103,74,10177,10178,,10174,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10253,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,58663,2022-01-26 02:00:00,6,79,359,81,351,81,,2,78,2,93,,0,,,81,81,,77,,89,89,,96,64,10121,10124,,10119,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10241,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,58668,2022-01-26 02:00:00,62,69,68,75,68,75,,62,72,75,98,,0,,,84,86,,84,,92,92,,101,72,10083,10086,,10080,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10233,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,58669,2022-01-26 02:00:00,39,78,33,72,33,72,,30,76,28,100,,0,,,84,87,,83,,93,90,,102,73,10137,10142,,10136,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,10231,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
