,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
0,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-06 20:00:00,153,56,56,62,56,17886,0
1,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-06 20:00:00,47,42,60,67,60,20000,0
2,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-06 20:00:00,22,13,65,68,65,12465,0
3,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-06 20:00:00,100,35,-44,-44,-46,-9999,0
4,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-06 20:00:00,146,29,69,69,67,18040,0
5,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-06 20:00:00,52,41,70,70,70,27985,0
6,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-06 20:00:00,22,76,63,64,62,20000,0
7,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-06 20:00:00,13,123,68,68,66,30000,0
8,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-06 20:00:00,349,32,66,67,65,27926,0
9,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-06 20:00:00,62,29,71,72,71,29306,0
10,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-06 20:00:00,26,135,72,73,72,30000,0
11,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-06 20:00:00,358,61,56,58,55,20416,0
12,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-06 20:00:00,72,115,63,63,62,26925,0
13,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-06 20:00:00,41,132,68,68,66,30000,0
14,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-06 21:00:00,127,43,53,56,53,17574,0
15,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-06 21:00:00,332,25,58,61,58,20000,0
16,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-06 21:00:00,338,16,54,65,54,13561,2
17,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-06 21:00:00,73,40,-42,-41,-45,-9999,0
18,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-06 21:00:00,132,30,66,69,66,18963,0
19,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-06 21:00:00,37,38,69,70,69,24784,0
20,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-06 21:00:00,20,58,62,63,62,20000,0
21,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-06 21:00:00,14,117,68,68,67,30000,0
22,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-06 21:00:00,330,30,66,67,66,30000,0
23,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-06 21:00:00,38,30,71,72,71,30000,0
24,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-06 21:00:00,35,124,74,74,72,30000,0
25,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-06 21:00:00,9,66,56,58,56,20464,0
26,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-06 21:00:00,76,112,63,63,62,23877,0
27,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-06 21:00:00,49,123,68,69,68,30000,0
